site_year_temp;plot_code;lat;long;sampled_area_ha;year_i;year;c_stocks_ha;p;cec;som;clay;site_area_ha;cwd;map;mat;k;ca;mg;sb;forest_type
ING_01_2009;ING_01;-21.4098;-44.8929;1;2004;2009;97.54751628;1.76;2.944;3.7;26.96;17;245.8534696;1735.948363;20.49469613;53.76;1.096;0.656;1.889493606;Semideciduous
ING_01_2015;ING_01;-21.4098;-44.8929;1;2009;2015;101.5476795;1.76;2.944;3.7;26.96;17;255.5089502;1635.041453;20.69289534;53.76;1.096;0.656;1.889493606;Semideciduous
ING_01_2018;ING_01;-21.4098;-44.8929;1;2015;2018;98.7167124;1.76;2.944;3.7;26.96;17;285.4097859;1411.589895;21.02207311;53.76;1.096;0.656;1.889493606;Semideciduous
ITM_01_2011;ITM_01;-22.35005;-44.79461667;1;2006;2011;128.4255903;1.756;2.776;5.076;51.32;7;151.5840924;1895.868254;16.40682801;54.64;0.1;0.1;0.339744246;Evergreen
ITM_01_2018;ITM_01;-22.35005;-44.79461667;1;2011;2018;128.2614378;1.756;2.776;5.076;51.32;7;177.2434014;1613.567115;16.74369054;54.64;0.1;0.1;0.339744246;Evergreen
ITT_01_1992;ITT_01;-21.35255;-44.60896;0.945;1987;1992;61.97221232;2.880952381;3.783333333;4.442857143;34.19047619;4;232.3112295;1549.175915;19.72371388;93.64285714;1.052380952;0.611904762;1.903781512;Semideciduous
ITT_01_1998;ITT_01;-21.35255;-44.60896;0.945;1992;1998;74.32289269;2.880952381;3.783333333;4.442857143;34.19047619;4;257.9103336;1660.806729;19.92788202;93.64285714;1.052380952;0.611904762;1.903781512;Semideciduous
ITT_01_2004;ITT_01;-21.35255;-44.60896;0.945;1998;2004;79.34130533;2.880952381;3.783333333;4.442857143;34.19047619;4;315.7805126;1608.061101;20.21207967;93.64285714;1.052380952;0.611904762;1.903781512;Semideciduous
ITT_01_2011;ITT_01;-21.35255;-44.60896;0.945;2004;2011;85.39363978;2.880952381;3.783333333;4.442857143;34.19047619;4;264.181582;1819.036992;20.26010857;93.64285714;1.052380952;0.611904762;1.903781512;Semideciduous
ITT_01_2019;ITT_01;-21.35255;-44.60896;0.945;2011;2019;90.85982465;2.880952381;3.783333333;4.442857143;34.19047619;4;295.7063921;1475.540641;20.66935382;93.64285714;1.052380952;0.611904762;1.903781512;Semideciduous
ITT_02_1994;ITT_02;-21.35561389;-44.61553333;0.84;1989;1994;80.73533804;1.925;2.382142857;3.667857143;46.89285714;9;251.3817526;1515.904582;19.71520554;47.89285714;0.303571429;0.117857143;0.543916698;Semideciduous
ITT_02_1999;ITT_02;-21.35561389;-44.61553333;0.84;1994;1999;87.06317961;1.925;2.382142857;3.667857143;46.89285714;9;277.7293677;1653.601126;19.98044278;47.89285714;0.303571429;0.117857143;0.543916698;Semideciduous
ITT_02_2004;ITT_02;-21.35561389;-44.61553333;0.84;1999;2004;104.9739295;1.925;2.382142857;3.667857143;46.89285714;9;325.954366;1605.536013;20.19926656;47.89285714;0.303571429;0.117857143;0.543916698;Semideciduous
ITT_02_2010;ITT_02;-21.35561389;-44.61553333;0.84;2004;2010;99.23691033;1.925;2.382142857;3.667857143;46.89285714;9;254.6044878;1800.081932;20.29403902;47.89285714;0.303571429;0.117857143;0.543916698;Semideciduous
ITT_02_2019;ITT_02;-21.35561389;-44.61553333;0.84;2010;2019;105.2037812;1.925;2.382142857;3.667857143;46.89285714;9;291.4423945;1510.602813;20.63513633;47.89285714;0.303571429;0.117857143;0.543916698;Semideciduous
LUM_01_2000;LUM_01;-21.4977;-44.9134;1.28;1995;2000;84.99058215;1.4375;3.275;3.375;30.5625;77;276.550381;1624.656513;20.12011946;79.96875;1.3875;0.7125;2.304523657;Semideciduous
LUM_01_2005;LUM_01;-21.4977;-44.9134;1.28;2000;2005;84.99073275;1.4375;3.275;3.375;30.5625;77;297.9046415;1580.610892;20.45156216;79.96875;1.3875;0.7125;2.304523657;Semideciduous
LUM_01_2010;LUM_01;-21.4977;-44.9134;1.28;2005;2010;91.02607054;1.4375;3.275;3.375;30.5625;77;239.5408922;1728.505609;20.48221381;79.96875;1.3875;0.7125;2.304523657;Semideciduous
LUM_01_2019;LUM_01;-21.4977;-44.9134;1.28;2010;2019;83.56740281;1.4375;3.275;3.375;30.5625;77;285.086802;1469.327682;20.76772155;79.96875;1.3875;0.7125;2.304523657;Semideciduous
MDD_01_1991;MDD_01;-21.4885;-44.3762;1.53;1986;1991;68.64135679;2.371428571;1.828571429;3.017142857;28.2;20;231.3585602;1450.16418;19.68029648;29.54285714;0.52;0.217142857;0.812700036;Semideciduous
MDD_01_1998;MDD_01;-21.4885;-44.3762;1.53;1991;1998;86.95353231;2.371428571;1.828571429;3.017142857;28.2;20;250.8415136;1596.359154;19.78259037;29.54285714;0.52;0.217142857;0.812700036;Semideciduous
MDD_01_2001;MDD_01;-21.4885;-44.3762;1.53;1998;2001;96.11945324;2.371428571;1.828571429;3.017142857;28.2;20;285.4158446;1472.996385;19.95375679;29.54285714;0.52;0.217142857;0.812700036;Semideciduous
MDD_01_2007;MDD_01;-21.4885;-44.3762;1.53;2001;2007;104.2563896;2.371428571;1.828571429;3.017142857;28.2;20;287.6008863;1550.379355;20.29844592;29.54285714;0.52;0.217142857;0.812700036;Semideciduous
MDD_01_2010;MDD_01;-21.4885;-44.3762;1.53;2007;2010;108.0305608;2.371428571;1.828571429;3.017142857;28.2;20;243.2701349;1735.659179;20.24654412;29.54285714;0.52;0.217142857;0.812700036;Semideciduous
MDD_01_2015;MDD_01;-21.4885;-44.3762;1.53;2010;2015;109.3540679;2.371428571;1.828571429;3.017142857;28.2;20;262.0204289;1523.507471;20.38247763;29.54285714;0.52;0.217142857;0.812700036;Semideciduous
MDD_01_2019;MDD_01;-21.4885;-44.3762;1.53;2015;2019;108.7693288;2.371428571;1.828571429;3.017142857;28.2;20;287.3822595;1350.164169;20.77953021;29.54285714;0.52;0.217142857;0.812700036;Semideciduous
MON_01_2011;MON_01;-14.4401;-44.4246;1;2006;2011;88.07844096;2.776;15.022;4.3824;35.36;40;749.1934095;944.0394187;24.37599781;173.88;12.1048;2.4508;15.00030588;Deciduous
MON_01_2020;MON_01;-14.4401;-44.4246;1;2011;2020;82.39657898;2.776;15.022;4.3824;35.36;40;857.7636285;782.7996518;24.58305702;173.88;12.1048;2.4508;15.00030588;Deciduous
MTR_01_2010;MTR_01;-21.6069;-44.5569;1.2;2005;2010;99.86016056;2.486666667;3.566666667;4.43;21;1200;208.1024985;1780.393185;19.68402348;62.86666667;0.686666667;0.26;1.107450981;Semideciduous
MTR_01_2015;MTR_01;-21.6069;-44.5569;1.2;2010;2015;106.406217;2.486666667;3.566666667;4.43;21;1200;237.1246853;1604.318949;19.82949709;62.86666667;0.686666667;0.26;1.107450981;Semideciduous
MTR_01_2018;MTR_01;-21.6069;-44.5569;1.2;2015;2018;103.8363233;2.486666667;3.566666667;4.43;21;1200;254.7242512;1452.997505;20.14890189;62.86666667;0.686666667;0.26;1.107450981;Semideciduous
PIE_01_1999;PIE_01;-21.4884;-44.1006;1.2;1994;1999;156.4132514;1.1;4.07;4.036666667;17.83333333;30;271.3176931;1551.950794;18.9815376;78.23333333;1.836666667;1.226666667;3.263418585;Semideciduous
PIE_01_2004;PIE_01;-21.4884;-44.1006;1.2;1999;2004;161.5346865;1.1;4.07;4.036666667;17.83333333;30;314.5951395;1518.225822;19.20808424;78.23333333;1.836666667;1.226666667;3.263418585;Semideciduous
PIE_01_2010;PIE_01;-21.4884;-44.1006;1.2;2004;2010;175.718334;1.1;4.07;4.036666667;17.83333333;30;246.7697102;1701.668117;19.30001212;78.23333333;1.836666667;1.226666667;3.263418585;Semideciduous
PNP_01_2011;PNP_01;-15.120799;-44.227304;0.2;2006;2011;104.2105867;55.16086957;11.87695652;5.203913043;33.04347826;1000;769.9891783;918.9185596;23.16439414;183.4782609;9.609130435;1.778695652;11.85707995;Deciduous
