plot_code;lat;long;n_plots;plot_size_m2;sampled_area_ha;n_census;interval_length;plot_code_interval;year_i;year_f;year;forest_type;site_area_ha;c_stocks_i;c_stocks_f;c_gains;c_losses;net_c_sink;crt;ph;p;k;ca;mg;al;sb;cec;som;clay;map;cwd;mat;max_temp;elevation;co2_i;co2_f;co2_change;co2_atm
DEC_05;-14.4315;-44.4911;5;400;0.2;5;5;DEC_05_2005_2010;2005;2010;2007.5;Deciduous;4;56.79262381;62.60768692;1.539340154;0.323410456;1.215929698;40.67176886;6.82;13.864;196;12.04;1.58;0;14.12127877;14.126;4.266;34;973.6794545;746.3333502;24.5958454;31.10962249;544;379.8;389.9;2.02;384.85
DEC_05;-14.4315;-44.4911;5;400;0.2;5;5;DEC_05_2010_2015;2010;2015;2012.5;Deciduous;4;62.60768692;63.44953724;1.497395448;1.321364547;0.176030901;42.37326706;6.82;13.864;196;12.04;1.58;0;14.12127877;14.126;4.266;34;844.5115434;824.6168003;24.57385149;31.0876286;544;389.9;400.83;2.186;395.365
DEC_05;-14.4315;-44.4911;5;400;0.2;5;3;DEC_05_2015_2018;2015;2018;2016.5;Deciduous;4;63.44953724;50.26350888;0.293586609;4.808922254;-4.515335645;171.2050459;6.82;13.864;196;12.04;1.58;0;14.12127877;14.126;4.266;34;754.316521;855.7807338;24.87321309;31.38699031;544;400.83;408.52;2.563333333;404.675
DEC_05;-14.4315;-44.4911;5;400;0.2;5;2;DEC_05_2018_2020;2018;2020;2019;Deciduous;4;50.26350888;52.54623814;2.532807759;1.370670294;1.162137465;20.7462402;6.82;13.864;196;12.04;1.58;0;14.12127877;14.126;4.266;34;787.771516;802.2007503;24.93224616;31.44602321;544;408.52;411.44;2.92;409.98
DEC_06;-14.4919;-44.1841;12;400;0.48;5;5;DEC_06_2005_2010;2005;2010;2007.5;Deciduous;80;45.93246517;49.3028345;1.526379705;0.82163548;0.704744226;32.30050447;6.468686869;1.901952862;158.1077441;8.949494949;0.878787879;0.047474747;10.23265046;10.28040404;4.779225589;19.13804714;896.8863183;784.6135649;24.74338411;31.00676421;533;379.8;389.9;2.02;384.85
DEC_06;-14.4919;-44.1841;12;400;0.48;5;5;DEC_06_2010_2015;2010;2015;2012.5;Deciduous;80;49.3028345;50.76596241;1.082286136;0.77634609;0.305940046;46.90623001;6.468686869;1.901952862;158.1077441;8.949494949;0.878787879;0.047474747;10.23265046;10.28040404;4.779225589;19.13804714;757.1060043;877.9675209;24.73099993;30.99437998;533;389.9;400.83;2.186;395.365
DEC_06;-14.4919;-44.1841;12;400;0.48;5;3;DEC_06_2015_2018;2015;2018;2016.5;Deciduous;80;50.76596241;47.82853433;0.31864492;1.324518208;-1.005873288;150.0997859;6.468686869;1.901952862;158.1077441;8.949494949;0.878787879;0.047474747;10.23265046;10.28040404;4.779225589;19.13804714;677.0328872;907.0716129;25.01439751;31.27777774;533;400.83;408.52;2.563333333;404.675
DEC_06;-14.4919;-44.1841;12;400;0.48;5;2;DEC_06_2018_2020;2018;2020;2019;Deciduous;80;47.82853433;48.21436141;2.247936858;2.05151229;0.196424568;21.44827211;6.468686869;1.901952862;158.1077441;8.949494949;0.878787879;0.047474747;10.23265046;10.28040404;4.779225589;19.13804714;706.0581891;852.1909312;25.07324086;31.33662109;533;408.52;411.44;2.92;409.98
IBI_01;-21.7103;-43.8855;48;200;0.96;5;5;IBI_01_1995_2000;1995;2000;1997.5;Evergreen;68;136.0368012;142.5405376;2.744565524;1.384634248;1.359931275;51.93555641;4.25;4.385416667;39.54166667;0.6;0.277083333;2.01875;0.978212915;2.94375;5.697916667;17.6875;1677.409922;200.3726321;17.32205578;22.74254369;1351;360.82;369.55;1.746;365.185
IBI_01;-21.7103;-43.8855;48;200;0.96;5;5;IBI_01_2000_2005;2000;2005;2002.5;Evergreen;68;142.5405376;141.6470268;2.26401163;2.450844729;-0.186833099;62.56461978;4.25;4.385416667;39.54166667;0.6;0.277083333;2.01875;0.978212915;2.94375;5.697916667;17.6875;1668.059752;214.7703608;17.67883883;23.15102796;1351;369.55;379.8;2.05;374.675
